"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"
"ENSG00000148965"	6297.46985204716	-8.44317905045647	0.835715117702689	2.75896360048951e-48	3.66405693720565e-46	"SAA4"
"ENSG00000007933"	5518.59473440416	-5.5257881425996	0.443322464153114	2.77959103283377e-48	3.6659930284078e-46	"FMO3"
"ENSG00000113905"	31519.6828471847	-7.39345774669004	0.704578078283498	4.26201471342768e-48	5.58265543695829e-46	"HRG"
"ENSG00000136305"	2535.58632159836	-5.403073958558	0.422139097938907	6.0204007316563e-48	7.83225466613572e-46	"CIDEB"
"ENSG00000161267"	2093.43747700977	-5.45133872173967	0.428778645246282	7.57750535238105e-48	9.79136569992805e-46	"BDH1"
"ENSG00000182566"	1030.87331090145	-7.98907862610388	0.731993952196173	1.13287749659885e-47	1.45403686207761e-45	"CLEC4G"
"ENSG00000183281"	1960.93887700876	-5.21944845059105	0.416805822462284	1.16212107440795e-47	1.48162689513185e-45	"PLGLB1"
"ENSG00000157131"	6887.14347320103	-7.81150443255429	0.777496965511387	1.40020325511285e-47	1.77334351329656e-45	"C8A"
"ENSG00000167195"	62.546405245845	-4.15858317446678	0.296352672578633	1.44241027385474e-47	1.81477987349987e-45	"GOLGA6C"
"ENSG00000176422"	1146.42620360225	-2.65511404427692	0.189638369649045	1.45591387408371e-47	1.81979718483508e-45	"SPRYD4"
"ENSG00000242220"	178.614579596949	-4.67278608105087	0.352837462219071	1.74810352990907e-47	2.17082674714163e-45	"TCP10L"
"ENSG00000116690"	3087.71961791247	-6.98906343078719	0.600254461805439	2.43253202011452e-47	3.00127370017226e-45	"PRG4"
"ENSG00000133800"	1019.09179419198	-4.91030688708972	0.37961091114873	3.47466206682388e-47	4.25957931832948e-45	"LYVE1"
"ENSG00000085871"	1406.46522563715	-2.13544231753325	0.151308655647936	3.56234704371213e-47	4.31179271290827e-45	"MGST2"
"ENSG00000168306"	2080.71090038611	-5.74795503424147	0.460392825906202	3.55494347511631e-47	4.31179271290827e-45	"ACOX2"
"ENSG00000140465"	287.223574689361	-7.63269511650334	0.63571583469028	5.8150900307236e-47	6.99420010990932e-45	"CYP1A1"
"ENSG00000144908"	4439.24379518641	-5.53362097870977	0.452384051929133	5.92559638511049e-47	7.08256907930332e-45	"ALDH1L1"
"ENSG00000187048"	9476.26837570021	-7.15549107862722	0.636159829803911	6.00011307513776e-47	7.12709083533755e-45	"CYP4A11"
"ENSG00000165478"	253.062641507524	-9.61929197335646	0.865898330622336	6.44661231459248e-47	7.61018604347325e-45	"HEPACAM"
"ENSG00000113600"	15569.9434535215	-8.70490203141938	0.944798429877474	7.34279893795357e-47	8.61495011591558e-45	"C9"
"ENSG00000184999"	1095.14271575832	-6.82078691011782	0.590646112417912	9.57397670724931e-47	1.11641908871607e-44	"SLC22A10"
"ENSG00000121361"	673.256673025276	-3.79147498727938	0.28334247749312	9.65702531907708e-47	1.11927849819412e-44	"KCNJ8"
"ENSG00000166391"	1116.36740474437	-7.10981003272073	0.629298047521076	1.13580557819653e-46	1.30850276370063e-44	"MOGAT2"
"ENSG00000186529"	2976.69207440387	-5.19077402617197	0.415746511057387	1.31461169690886e-46	1.49646631498125e-44	"CYP4F3"
"ENSG00000261701"	5655.3295440589	-8.22299732465926	0.855139232777551	2.34002603144365e-46	2.64796791865848e-44	"HPR"
"ENSG00000130988"	2407.07899541633	-5.63242809739032	0.462220350015992	2.78209906764862e-46	3.12969779821837e-44	"RGN"
"ENSG00000183044"	5747.03922059288	-5.15602405770057	0.40911830504032	4.00140589316039e-46	4.47502259069001e-44	"ABAT"
"ENSG00000120907"	470.817166041236	-5.35518666559285	0.434564708313003	4.07885400271182e-46	4.53511650859656e-44	"ADRA1A"
"ENSG00000163586"	23320.6554650969	-8.35479347836327	0.897591796194572	4.65279037535374e-46	5.14335047041994e-44	"FABP1"
"ENSG00000137204"	3117.18591411518	-7.95257428670237	0.737140414993817	4.82617292159604e-46	5.30435235359786e-44	"SLC22A7"
"ENSG00000249948"	1278.63620214354	-7.12585270892797	0.64506751616421	9.99991945230874e-46	1.0927911977483e-43	"GBA3"
"ENSG00000138356"	13025.577588802	-6.58372196310042	0.596709184273614	1.03914038321079e-45	1.12912049366609e-43	"AOX1"
"ENSG00000138115"	15022.3576072684	-7.11121986595819	0.68258737883479	2.13220414118905e-45	2.30374418057059e-43	"CYP2C8"
"ENSG00000121691"	7689.25840953651	-3.61914425531431	0.273964896190045	2.39669946656553e-45	2.57497082014603e-43	"CAT"
"ENSG00000137509"	2163.01238211714	-1.70707819992209	0.122589866371012	2.53321836369071e-45	2.70643955235872e-43	"PRCP"
"ENSG00000017427"	884.79347065724	-4.14287314179885	0.31995115122839	2.89136840263718e-45	3.05494637193555e-43	"IGF1"
"ENSG00000151224"	21637.7644390969	-7.15173587687058	0.692779734711429	3.11996799573763e-45	3.27836637090585e-43	"MAT1A"
"ENSG00000132837"	1504.09054835612	-5.93390568731818	0.507774629899577	3.63103485722818e-45	3.79453063440611e-43	"DMGDH"
"ENSG00000180210"	18334.7276877238	-7.22239943493633	0.700200814789319	5.3320623758876e-45	5.51191139872835e-43	"F2"
"ENSG00000126231"	460.606378691564	-6.63385256276149	0.57223294764235	7.57964084738092e-45	7.79317481533939e-43	"PROZ"
"ENSG00000132855"	8417.43832026481	-7.52452659008936	0.732028108922224	1.61474425689486e-44	1.65135664004584e-42	"ANGPTL3"
"ENSG00000112293"	1196.18293092318	-4.85685914124362	0.392061340073717	2.29809391879899e-44	2.3376993671868e-42	"GPLD1"
"ENSG00000134240"	16705.7209739702	-7.82524184999447	0.812095629301229	2.35647584016362e-44	2.3844044427137e-42	"HMGCS2"
"ENSG00000111713"	1407.69951935222	-9.96665106804579	1.03099961796485	5.04974128168802e-44	5.08269748794746e-42	"GYS2"
"ENSG00000004864"	1326.85777260845	-2.15795086071873	0.159088503912455	6.26933173376513e-44	6.27720942809028e-42	"SLC25A13"
"ENSG00000152620"	2574.3428585428	-3.17921409937831	0.242226416686063	7.8738941677202e-44	7.84272666997297e-42	"NADK2"
